date,prefecture,count
2021-04-12,1,116
2021-04-12,1,89
2021-04-12,1,39
2021-04-12,1,26
2021-04-12,1,12
2021-04-12,1,1
2021-04-12,2,4
2021-04-12,2,137
2021-04-12,2,2
2021-04-12,2,55
2021-04-12,2,7
2021-04-12,3,23
2021-04-12,3,27
2021-04-12,4,1
2021-04-12,5,13
2021-04-12,5,4
2021-04-12,5,3
2021-04-12,6,10
2021-04-12,6,23
2021-04-12,6,3
2021-04-12,6,16
2021-04-12,6,2
2021-04-12,7,3
2021-04-12,7,79
2021-04-12,7,7
2021-04-12,7,112
2021-04-12,7,1
2021-04-12,8,45
2021-04-12,8,4
2021-04-12,8,12
2021-04-12,8,3
2021-04-12,9,6
2021-04-12,9,4
2021-04-12,10,9
2021-04-12,10,45
2021-04-12,10,4
2021-04-12,10,24
2021-04-12,10,4
2021-04-12,11,9
2021-04-12,11,109
2021-04-12,11,4
2021-04-12,11,30
2021-04-12,11,5
2021-04-12,12,3
2021-04-12,12,12
2021-04-12,12,2
2021-04-12,12,1
2021-04-12,13,74
2021-04-12,13,161
2021-04-12,13,21
2021-04-12,13,131
2021-04-12,13,4
2021-04-12,14,29
2021-04-12,14,92
2021-04-12,14,22
2021-04-12,14,44
2021-04-12,14,3
2021-04-12,15,10
2021-04-12,15,42
2021-04-12,15,1
2021-04-12,15,13
2021-04-12,16,14
2021-04-12,16,26
2021-04-12,16,3
2021-04-12,16,11
2021-04-12,16,2
2021-04-12,17,2
2021-04-12,18,27
2021-04-12,18,107
2021-04-12,18,5
2021-04-12,18,24
2021-04-12,18,3
2021-04-12,20,1
2021-04-12,20,2
2021-04-12,20,1
2021-04-12,20,3
2021-04-12,20,2
2021-04-12,21,3
2021-04-12,21,22
2021-04-12,21,7
2021-04-12,21,1
2021-04-12,22,204
2021-04-12,22,17
2021-04-12,22,72
2021-04-12,22,9
2021-04-12,23,76
2021-04-12,23,1
2021-04-12,23,19
2021-04-12,23,1
2021-04-12,23,1
2021-04-12,24,23
2021-04-12,24,65
2021-04-12,24,10
2021-04-12,24,53
2021-04-12,24,8
2021-04-12,25,34
2021-04-12,25,1
2021-04-12,25,24
2021-04-12,26,28
2021-04-12,26,24
2021-04-12,26,11
2021-04-12,26,5
2021-04-12,26,2
2021-04-12,27,17
2021-04-12,27,187
2021-04-12,27,13
2021-04-12,27,59
